yearID,total_doubles,total_triples,total_homeruns,total_Hits,total_AB,total_singles,Slugging
1977,6441,1170,3644,38037,143975,26782,0.4011113040458413
1989,6307,868,3083,36293,142821,26035,0.3751899230505318
1998,8741,899,5064,44489,167116,29785,0.4201871753751885
2004,8919,898,5451,44522,167353,29254,0.42777840851374044
1971,4931,808,2863,32547,130544,23945,0.3652638190954774
1980,6345,1076,3087,38144,144160,27636,0.3877774694783574
1992,6563,845,3038,36544,142895,26098,0.37727702158927884
1986,6511,855,3813,36880,143106,25701,0.39509175017120174
2001,8813,928,5458,43879,166234,28680,0.42663955628812394
1983,6463,1033,3301,37443,143538,26646,0.3892697404171718
2007,9197,938,4957,44977,167783,29885,0.4226947902946067
1968,3869,697,1995,25710,108622,19149,0.3402441494356576
1974,5206,847,2649,33969,132256,25267,0.3691023469634648
2013,8222,772,4661,42093,166070,28438,0.3964713674956344
2010,8486,866,4613,42554,165353,28589,0.40284119429342075
1995,6958,824,4081,36975,138571,25112,0.41728788851924287
2022,7940,643,5215,39675,163465,25877,0.39486128529042913
2019,8531,785,6776,42039,166651,25947,0.4348488757943247
2016,8254,873,5610,42276,165561,27539,0.4174050652025537
1963,4098,791,2704,27043,109814,19450,0.37185604749849743
1948,3686,834,1555,22234,84411,16159,0.38209475068415255
1966,4120,820,2743,27207,109467,19524,0.3763325933843076
1978,6186,1020,2956,36508,141567,26346,0.37863343858385073
1969,4840,849,3119,32581,131287,23773,0.3692368627510721
1957,3396,672,2202,21865,84906,15595,0.39115021317692505
1972,4652,746,2534,30434,124828,22502,0.35392700355689427
1981,4000,659,1781,24157,94467,17717,0.3685731525294547
1951,3582,716,1863,22191,85065,16030,0.38551695762064303
1975,5443,887,2698,33863,131473,24835,0.37402356377355045
1960,3442,658,2128,21434,84014,15206,0.38774489965958053
1954,3455,789,1937,21908,83936,15727,0.3902020587113992
1984,6213,985,3258,37381,143829,26925,0.38474855557641363
2005,8863,888,5017,43991,166335,29223,0.41891965010370635
1996,7987,855,4962,42320,156801,28516,0.4266745747794976
2017,8397,795,6105,42215,165567,26918,0.4259121684876817
2014,8137,849,4186,41595,165614,28423,0.3863683021966742
1999,8740,931,5528,45327,167137,30128,0.43385366495748995
1987,6793,896,4458,37895,144095,25748,0.4153787431902564
2020,2823,241,2304,14439,59030,9071,0.4176859224123327
2008,9014,886,4878,43972,166714,29194,0.4162337896037525
2011,8399,898,4552,42267,165705,28418,0.39901028936966293
1990,6526,865,3317,36817,142768,26109,0.38540849490081813
2002,8700,921,5059,43272,165582,28592,0.4166576077109831
1993,7449,940,4030,41088,154995,28669,0.40328397690248075
2023,8228,712,5868,40839,164418,26031,0.4141578172706151
1949,3602,761,1704,22168,84380,16101,0.38402465039108796
1946,3579,783,1215,21555,84333,15978,0.3598235566148483
1970,5235,927,3429,33555,132140,23964,0.38543211745118816
1988,6386,840,3180,36244,142568,25838,0.3777144941361315
1991,6499,894,3383,36558,142968,25782,0.3846595042247216
1985,6423,965,3602,36778,143075,25788,0.39096278175781934
1982,6316,964,3379,37651,144149,26992,0.3887089053687504
1979,6415,1066,3433,37911,142792,26997,0.39748025099445344
1964,4270,760,2762,27669,110464,19877,0.3779059241019699
1976,5240,966,2235,33598,131525,25157,0.3609579927770386
1997,8004,883,4640,41471,155438,27944,0.41920894504561307
1994,5723,702,3306,29743,110266,20012,0.4243193731521956
1973,5224,790,3102,34010,132363,24894,0.3786556666137818
1961,3975,754,2730,25066,97032,17607,0.39923942616868663
1952,3388,677,1701,21272,84195,15506,0.36958251677653065
1967,4082,792,2299,26464,109205,19291,0.3573737466233231
1958,3392,655,2240,21621,83827,15334,0.3941808725112434
1955,3251,700,2224,21610,83590,15435,0.3939825337959086
2003,8827,934,5207,44057,166737,29089,0.4220598907261136
2006,9135,952,5386,45073,167341,29600,0.4318726432852678
2009,8737,949,5042,43524,165849,28796,0.4177595282455728
2021,7863,671,5944,39484,161941,25006,0.4107730593240748
2000,8901,952,5693,45246,167290,29700,0.4371450774104848
2015,8242,939,4909,42106,165488,28016,0.4045791839891714
2018,8264,847,5585,41018,165432,26322,0.40941897577252284
2012,8261,927,4934,42063,165251,27941,0.4053228119648293
1953,3593,745,2076,22459,84997,16045,0.39730814028730427
1950,3714,793,2073,22559,84823,15979,0.40175424118458436
1965,4199,787,2688,26952,109739,19278,0.3716910123110289
1947,3568,804,1565,22003,84436,16066,0.37749301245914063
1959,3478,591,2250,21636,84294,15317,0.3920326476380288
1956,3339,725,2294,21653,83856,15295,0.3973955352032055
1962,4313,853,3001,28521,110688,20354,0.3933850101185314
